Num,Lat,Lon,Value
31,-6.25,-81.25,3
32,-5.75,-81.25,3
33,-5.25,-81.25,3
34,-4.75,-81.25,3
35,-4.25,-81.25,3
41,-1.25,-81.25,3
87,-6.25,-80.75,3
88,-5.75,-80.75,3
89,-5.25,-80.75,3
90,-4.75,-80.75,3
91,-4.25,-80.75,3
92,-3.75,-80.75,3
94,-2.75,-80.75,3
95,-2.25,-80.75,3
96,-1.75,-80.75,3
97,-1.25,-80.75,3
98,-0.75,-80.75,3
142,-6.75,-80.25,3
143,-6.25,-80.25,3
144,-5.75,-80.25,3
145,-5.25,-80.25,3
146,-4.75,-80.25,3
147,-4.25,-80.25,3
148,-3.75,-80.25,3
149,-3.25,-80.25,3
150,-2.75,-80.25,3
151,-2.25,-80.25,3
152,-1.75,-80.25,3
153,-1.25,-80.25,3
154,-0.75,-80.25,3
155,-0.25,-80.25,3
156,0.25,-80.25,3
157,0.75,-80.25,3
196,-7.75,-79.75,3
197,-7.25,-79.75,3
198,-6.75,-79.75,3
199,-6.25,-79.75,3
200,-5.75,-79.75,3
201,-5.25,-79.75,3
202,-4.75,-79.75,3
203,-4.25,-79.75,3
204,-3.75,-79.75,3
205,-3.25,-79.75,3
206,-2.75,-79.75,3
207,-2.25,-79.75,3
208,-1.75,-79.75,1
209,-1.25,-79.75,4
210,-0.75,-79.75,4
211,-0.25,-79.75,4
212,0.25,-79.75,4
213,0.75,-79.75,3
214,1.25,-79.75,3
251,-8.25,-79.25,3
252,-7.75,-79.25,3
253,-7.25,-79.25,3
254,-6.75,-79.25,3
255,-6.25,-79.25,3
256,-5.75,-79.25,3
257,-5.25,-79.25,3
258,-4.75,-79.25,3
259,-4.25,-79.25,3
260,-3.75,-79.25,3
261,-3.25,-79.25,3
262,-2.75,-79.25,3
263,-2.25,-79.25,1
264,-1.75,-79.25,4
265,-1.25,-79.25,4
266,-0.75,-79.25,4
267,-0.25,-79.25,4
268,0.25,-79.25,4
269,0.75,-79.25,4
270,1.25,-79.25,2
271,1.75,-79.25,2
305,-9.25,-78.75,3
306,-8.75,-78.75,3
307,-8.25,-78.75,3
308,-7.75,-78.75,3
309,-7.25,-78.75,3
310,-6.75,-78.75,3
311,-6.25,-78.75,3
312,-5.75,-78.75,3
313,-5.25,-78.75,2
314,-4.75,-78.75,2
315,-4.25,-78.75,3
316,-3.75,-78.75,2
317,-3.25,-78.75,3
318,-2.75,-78.75,3
319,-2.25,-78.75,3
320,-1.75,-78.75,3
321,-1.25,-78.75,3
322,-0.75,-78.75,3
323,-0.25,-78.75,4
324,0.25,-78.75,1
325,0.75,-78.75,4
326,1.25,-78.75,2
327,1.75,-78.75,2
328,2.25,-78.75,5
329,2.75,-78.75,5
359,-10.25,-78.25,3
360,-9.75,-78.25,3
361,-9.25,-78.25,3
362,-8.75,-78.25,3
363,-8.25,-78.25,3
364,-7.75,-78.25,3
365,-7.25,-78.25,3
366,-6.75,-78.25,3
367,-6.25,-78.25,3
368,-5.75,-78.25,3
369,-5.25,-78.25,2
370,-4.75,-78.25,2
371,-4.25,-78.25,2
372,-3.75,-78.25,2
373,-3.25,-78.25,2
374,-2.75,-78.25,2
375,-2.25,-78.25,2
376,-1.75,-78.25,2
377,-1.25,-78.25,2
378,-0.75,-78.25,3
379,-0.25,-78.25,3
380,0.25,-78.25,3
381,0.75,-78.25,1
382,1.25,-78.25,5
383,1.75,-78.25,5
384,2.25,-78.25,5
385,2.75,-78.25,5
386,3.25,-78.25,5
413,-11.25,-77.75,3
414,-10.75,-77.75,3
415,-10.25,-77.75,3
416,-9.75,-77.75,3
417,-9.25,-77.75,3
418,-8.75,-77.75,3
419,-8.25,-77.75,3
